sentence_id,text_source,mean_nll_human,mean_nll_ai,mean_nll_diff,n_tokens,pct_ai_style,pct_human_style,pct_neutral
e5fb033237239a182660bb26c0156874,gpt-5,3.0940713364002295,2.9140362979698695,0.18003503843036014,50,0.16,0.0,0.84
f24fd7ad51b8a6b26a9a78f058bd183a,gpt-5,2.9904690119001316,2.8882367783811613,0.10223223351897018,42,0.047619047619047616,0.023809523809523808,0.9285714285714286
b9e6784e38a1d1391bd5c3b452c52772,gpt-5,3.624249805561512,3.5246156926426155,0.0996341129188965,38,0.10526315789473684,0.02631578947368421,0.868421052631579
38549ee8b01dc14851527fc1adf60667,gpt-5,4.2136766224422235,3.8751145062991945,0.3385621161430291,55,0.2,0.05454545454545454,0.7454545454545455
02fe7cde832e1d347f901cf0183326ac,gpt-5,3.014766418410895,2.8626860443753404,0.15208037403555444,52,0.17307692307692307,0.038461538461538464,0.7884615384615384
b4c40b0bf317aecdae717b56ae25a309,gpt-5,2.7564926466839097,2.5131802650846446,0.24331238159926502,76,0.21052631578947367,0.02631578947368421,0.7631578947368421
f203db3e5edaca48f4147b4e34c477cf,gpt-5,3.352884177795865,3.307467780499296,0.045416397296569565,33,0.09090909090909091,0.0,0.9090909090909091
528ee6338b8505f306e1807c359163ab,gpt-5,3.813738092611034,3.8945000242785595,-0.08076193166752568,42,0.0,0.07142857142857142,0.9285714285714286
c8435f329ae64afd0d42d83f56c60f47,gpt-5,3.588550583871368,3.525477871337595,0.06307271253377295,39,0.07692307692307693,0.10256410256410256,0.8205128205128205
8882b856f764628def750febe3a285cb,gpt-5,3.5637390879874533,3.465803513620445,0.09793557436700831,47,0.0851063829787234,0.02127659574468085,0.8936170212765957
7c6ddb209ce1964526763ff06e9dbc28,gpt-5,3.5233109906480156,3.4868502381723374,0.036460752475678045,51,0.0784313725490196,0.058823529411764705,0.8627450980392157
08ede6e17c33b23b841be655528c332a,gpt-5,3.536772663127631,3.145686869174242,0.39108579395338894,50,0.24,0.04,0.72
c0bc2439b54489cfd510e9f6ea7ec553,gpt-5,3.7734060001319216,3.776901833536554,-0.0034958334046325855,31,0.03225806451612903,0.0967741935483871,0.8709677419354839
433bf5d5849b6e305f20e5e57d985f1c,gpt-5,4.01320743560791,3.926306240260601,0.08690119534730911,12,0.16666666666666666,0.08333333333333333,0.75
e3f4c75f861df5c4aed6d54911a455c9,gpt-5,4.075301952727993,3.676290438954796,0.3990115137731967,60,0.2,0.03333333333333333,0.7666666666666667
db74e318bc9b2605f5d583a1d855516f,gpt-5,2.6874056790131338,2.568949542461563,0.11845613655157035,71,0.08450704225352113,0.014084507042253521,0.9014084507042254
70987c81e624a5363b060fc9b85eb110,gpt-5,5.4781512866861055,4.933643463732941,0.5445078229531646,28,0.25,0.03571428571428571,0.7142857142857143
